city,state_id,county_name,lat,lng
South Creek,WA,Pierce,46.9994,-122.3921
Roslyn,WA,Kittitas,47.2507,-121.0989
Sprague,WA,Lincoln,47.3048,-117.9713
Gig Harbor,WA,Pierce,47.3352,-122.5968
Lake Cassidy,WA,Snohomish,48.0639,-122.092
Tenino,WA,Thurston,46.8537,-122.8607
Jamestown,WA,Clallam,48.1229,-123.0911
Three Lakes,WA,Snohomish,47.942,-121.9924
Curlew Lake,WA,Ferry,48.7311,-118.6663
Chain Lake,WA,Snohomish,47.9038,-121.9861
